,tweet,asal_tweet
136,"Ojo Lali Lur....Wisuh Nganggo Sabun.
.
.
#polresjogja #polsekjetisjogja #Covid https://t.co/lKAWNBYfhT",Jl. Kyai Mojo No.5  Yogyakarta
137,"Amaran! Voice note yang mendakwa 63 kes positif COVID-19 di Guar Chempedak, Kedah, adalah PALSU.!Jangan sebarkan! https://t.co/c3NM2taqqo",
138,"Semenjak ada Covid-19 kamu jadi rajin jaga kebersihan.
Kebersihan tangan, badan, dan riwayat chattingan.","Purbalingga, Java, 🇮🇩"
139,untuk fans barca “ stay at home” pingsan dijalan bisa dikira covid,
140,@klinegetes kesa ma covid,
141,"Ortu sih gapapa gue ga kerja dulu karena lagi covid, tapi akhir2 ini gue lagi merasa GG anjir gimana dong :(",
142,Baca tabel data covid di Indonesia mimpi buruk gue ngolah datanya pasti.,
143,"jait ditempat rekomendasi yuyun, udh jadi dari bulan maret karna covid baru dipake skrng wkwk masih muat ternyata https://t.co/ZrcQ04814d",
144,Hya yar ajkal ta tauko dukhney bitikai covid lagyo conclusion ma pugchu yar,in your head rent free
145,tengah syok cakap pasal ces covid ni hari astuuuu dengan yakin ya masing masing cakap PKP kepada KPP dan KPK😭✊,Malaysia
146,covid mengajarkan perlunya persiapan,+62
147,Mau jalan2 banget tp lg covid gini😭,
148,@Rarser Covid jadi bikin susa pedekate,Indonesia
149,"abis dibantai, banyak pemain kena covid-19. mantab barca.",indonesia
150,"@X_Tshezi Ubabheke, ziba bambha ngey' ndlela ezi covid labantu bethu, special Olympics nyana😂😂😂😂 https://t.co/8MW8tuWFeT",Jozi🇿🇦
151,@misstafinissa Positif covid atau apa?,Dewata
152,@AgustinusWijay2 @CNNIndonesia Maen nya pake baju standar penanganan covid,Indonesia
153,@silviarizati Mainn sill ke jogja abis covid yaa,Daerah Istimewa Yogyakarta
154,@nandaysc Msh ada covid diruma aja :(,Local Disk D:
155,@ganjarpranowo Covid 19 lenyap dari muka bumi pak..,Atimu
156,@dinarishaa @arifbukh @mdxnaj yg pasti lepas covid reda la mm,SAC
157,@budihartobong Di UK ada konser per 3 hr sbg ganti konser2 yg pending krn covid.. modelnya gt..,Indonesia
158,@naddynasation Memang la. Bila la covid ni habis. Tak tidoq lagi ka ropeah oi?,Malaysia
159,guys...opung aku positif covid di binjai sana...barusan ditelpon abo aku nangis-nangis...tlg doain ya...,
160,"@panjikj Selamat malam mas, penelitian ini sedang diberhentikan sementara karena isu Covid 19",Jakarta Capital Region
161,(((disuruh foto keadaan pas covid))) kenapa ada yg bawa anak kambing😭,
162,@rafifckckckck Maringunu seng matek kesereten ngalah ngalahi covid,"Kota Surabaya, Jawa Timur"
